70	1035	3	884066399
541	234	5	883874433
903	521	5	891033781
198	276	3	884205317
610	7	2	888703137
497	237	3	879310314
487	402	4	883531507
503	1316	1	892667252
307	401	1	879114143
894	885	2	887044250
405	1579	1	885549408
498	50	4	881954821
152	71	5	882900320
525	595	2	881086803
916	531	4	880844331
345	70	5	884992248
254	167	3	886474712
666	175	4	880567612
758	171	5	881976262
401	153	2	891033466
887	1051	4	881378773
52	237	4	882922227
104	845	3	888465634
429	535	2	882386941
234	28	4	892079538
320	17	5	884751190
650	661	3	891385206
67	412	1	875379540
6	285	3	883599431
406	461	3	879446269
367	564	2	876690077
642	384	5	886131546
417	44	2	880951252
497	226	3	879310913
450	616	4	882373597
182	237	3	885613067
839	319	1	875751411
630	295	4	885666875
405	779	1	885548137
883	1012	5	891916324
544	328	3	884795581
368	89	4	889783678
178	454	4	882827247
689	410	1	876676293
158	823	2	880132941
774	172	3	888557198
337	257	3	875184963
14	313	2	890880970
7	419	3	891350900
771	313	3	886635643
308	85	4	887741245
933	384	1	874938475
650	601	3	891386964
347	501	4	881654410
813	307	4	883752265
246	1188	3	884924001
627	77	2	879530305
398	168	3	875658967
450	591	4	887660762
369	114	5	889428642
711	79	4	879992739
181	938	1	878961586
211	64	3	879460213
545	684	4	879899380
334	333	4	891544233
151	966	4	879543457
644	100	4	889076775
715	106	2	875962140
712	88	4	874730155
522	200	4	876961314
870	58	5	875050723
101	237	5	877137015
391	646	4	877399066
606	435	4	880923862
714	471	4	892777903
365	1011	3	891304152
495	636	3	888634475
860	333	3	876074177
95	72	2	880571389
276	31	4	874795704
901	1035	4	877131793
798	687	4	875295566
174	451	5	886513752
497	809	3	879362609
825	1016	3	880756077
908	183	4	879722427
380	414	2	885480046
53	228	3	879442561
596	258	3	883539011
128	209	4	879968332
645	286	4	892051844
401	282	3	891032584
234	200	5	892335074
83	685	4	880306951
215	54	4	891436607
145	449	3	885557699
405	651	5	885545167
404	269	4	883790750
535	566	3	879618338
342	124	4	875318267
587	902	2	892871584
711	476	4	876185832
682	1153	3	888517869
383	435	4	891192836
354	496	3	891217109
394	561	4	881060177
524	111	5	884323426
667	316	4	891034584
896	157	4	887159555
450	92	4	887660650
290	82	4	880473918
347	91	1	881654679
301	606	3	882076890
771	50	4	880659347
790	1040	2	884462954
817	358	4	874815679
311	623	2	884366112
721	175	5	877140282
450	435	4	882374332
526	332	2	885682006
56	408	4	892683248
288	900	5	886372155
767	344	4	891462511
715	1	5	875961843
207	531	4	877878342
311	79	4	884364623
830	228	3	891561607
42	658	2	881107502
889	433	4	880180612
572	289	3	879449277
680	515	4	876816268
634	21	2	875729668
848	1021	5	887043777
794	515	5	891034755
650	222	4	891369924
844	627	3	877388040
805	98	5	881695196
399	50	3	882343040
334	61	3	891550409
412	172	5	879717449
643	482	4	891447063
406	924	4	879540228
864	66	3	888889784
178	323	3	882823530
90	904	3	891382121
537	501	3	886032000
435	196	4	884131597
786	176	4	882843069
833	230	1	875223923
903	234	4	891033808
293	679	2	888906699
796	31	4	893194547
640	70	4	874778065
716	187	3	879795189
58	135	4	884305150
500	100	4	883865104
76	61	4	875028123
392	313	5	891037385
1	221	5	887431921
860	1061	3	879169685
178	209	4	882826944
567	430	4	882426927
8	174	5	879362183
716	515	5	879793293
429	546	3	882387140
574	1313	4	891278916
883	48	4	891717283
283	291	2	879297867
757	176	5	888445730
474	107	3	887915722
854	118	2	882813219
102	217	2	888803149
503	14	3	879438161
863	310	5	889288943
343	747	4	876407174
339	200	5	891033118
878	174	3	880872669
334	203	4	891546181
423	339	2	891394788
437	705	4	880141335
